CENSUS_TRACT,LAND_VALUE_PER_SQFT
4600.01,3.1096317114708056
5154.01,20.85985770238157
4560.03,1.4986796018521764
4511.04,2.108480438887271
4511.05,2.445050537074446
4530.03,0.7612246742145911
4741.01,5.952605719235992
4961.02,1.2683213375031988
5235.01,2.125673685044693
4132.02,2.533575816682207
4292.02,6.138988402790186
4592.01,3.4818761322549636
4900.02,3.7017278308224735
4741.02,6.056474630055061
5200.01,3.351659569433922
4132.01,4.002641017646028
4511.02,4.031728302962859
4754.01,5.895273736607155
4753.04,4.808209123000108
4070.02,1.809944996686809
4734.01,18.588587200467995
4751.02,6.083595385411814
4734.02,13.316802909380828
4736.01,18.86705561936379
4736.02,12.651859053807314
4742.03,5.556834122223046
4530.04,3.8202227671734468
4705.02,9.043243905981175
4292.01,6.106623333316427
4070.01,0.9719308113680148
5180.01,6.812712114416133
4754.02,4.932413229896167
4742.02,6.35221733214993
5214.01,2.4740415928131547
5261.01,1.2808141022870225
4592.02,
4150.01,1.5291570989739263
4080.01,2.8505018363436085
4560.01,1.4387597296280124
4591.01,2.2602935019890844
5200.02,2.8078760983593827
5235.02,2.3514215012946718
5237.02,1.572272598313075
5262.02,2.4100713425680924
4753.01,6.377236645928296
5213.02,2.409161868431617
5237.01,1.763438998481733
4890.01,7.102748337010882
4801.01,7.503367015436958
4890.02,7.720865096091013
4801.02,7.674957469563765
4751.01,8.121689378572867
4705.01,15.871272516009565
4900.03,4.5806912560551245
4900.04,3.957384238753468
4511.01,2.807355984566211
4560.04,4.38051636591728
5261.02,1.1189151073970622
4141.01,3.2330614276173324
4911.01,2.0812837224323277
4591.02,3.370824679445507
4753.03,4.681281425995731
5213.01,2.1202363937167927
5263.01,2.609729469210139
4080.02,2.7582614195518524
5263.02,2.9599380605093493
4961.01,1.3718921272662852
4742.01,5.348583297254056
5262.01,2.2619807199765685
4150.02,1.587862509311833
4600.02,3.3517036710919252
5214.02,2.567171393664053
5030.02,3.932012956406698
4141.02,3.295080170243591
4120.02,3.671815354310631
4580.02,2.1282930786296763
4580.01,2.15753406249673
103.02,74.3516421857463
103.01,74.3516421857463
4120.04,1.8898567201847762
4110.02,3.7017821050517346
4110.01,1.729192256670546
4090.02,2.819059580842938
4120.03,4.434327253725436
5632.01,-7.007730765563533
4090.01,3.2014194577449597
5632.02,43.20985685168616
5629.01,19.33527271596223
