PARCEL_ID,PARCEL_ID_FROM_ADDRESS,PARCEL_ID_FROM_GEOMETRY,LISTING_ID,LATITUDE,LONGITUDE,ADDRESS,ZIP_CODE,PRICE,IS_VACANT
0312P00013000000,0312P00013000000,0312P00013000000,36217179,40.346812,-79.940166,7025 Clairton Rd,15122,16.0,False
0066D00060000000,0066D00060000000,0066D00060000000,36008550,40.412958,-80.066888,750 Trumbull Dr,15205,9.0,False
0763K00106000000,0763K00106000000,0763K00134000000,35920878,40.300488,-79.875877,206 State St,15025,10.0,False
0035N00268000000,,0035N00268000000,35891024,40.404458,-80.030418,2114-2118 Broadway Ave,15216,12.37,False
0666S00020000000,0666S00020000000,0666S00020000000,35846813,40.308735,-80.033296,5850 Library Rd,15102,15.0,False
0009N00050000000,0009N00050000000,0009N00050000000,35786182,40.44345,-79.997029,929 Liberty Ave,15222,16.5,False
0011F00160000000,,0011F00160000000,35587129,40.43837,-79.974737,2122-2139 5th Ave,15219,7.5,False
0038G00150000001,0038G00150000001,0038G00150000001,35216592,40.421278,-80.054995,400 Holiday Dr,15220,26.0,False
0147M00006000000,0147M00006000000,0147M00006000000,34998413,40.399389,-80.1008,29 Noblestown Rd,15106,21.0,False
0002E00128000000,0002E00128000000,0002E00128000000,34965802,40.438521,-79.998357,429 Fourth Ave,15219,21.0,False
0012K00251000000,0012K00251000000,,34918661,40.426855,-79.977615,133 S 20th St,15203,12.0,False
0008G00129000000,,0008G00129000000,34699507,40.448109,-80.003898,110-140 Federal St,15212,22.0,False
0317G00300000000,0317G00300000000,0317G00300000000,34465329,40.350722,-80.020998,150 Hillside Dr,15102,10.0,False
0038A00075000000,0038A00075000000,0038A00075000000,34346207,40.422975,-80.064024,750 Holiday Dr,15220,22.0,False
0264B00199000000,0264B00199000000,0264B00199000000,34297811,40.431526,-80.140786,600 Boyce Rd,15205,14.0,False
0373N00208000000,0373N00208000000,0373N00208000000,34111827,40.414313,-79.848678,103 Yost Blvd,15221,12.0,False
0475C00200000000,0475C00200000000,0475C00200000000,34111437,40.334373,-80.023085,5187 Library Rd,15102,17.0,False
0027H00194000000,0027H00194000000,0027H00194000000,34049555,40.449195,-79.950461,155 N Craig St,15213,18.0,False
0196R00004000000,0196R00004000000,0196R00004000000,33637721,40.366061,-80.106422,1020 Washington Pike,15017,25.2,False
0175E00108000000,0175E00108000000,0175E00108000000,33565517,40.447968,-79.895825,7501 Penn Ave,15208,12.5,False
0012K00014000000,0012K00014000000,0012K00014000000,33408974,40.428434,-79.977501,2000 E Carson St,15203,14.25,False
0012E00329000000,0012E00329000000,0012E00329000000,33331066,40.428909,-79.979797,1817 E Carson St,15203,17.5,False
0373N00282000000,0373N00282000000,0373N00282000000,33232242,40.415124,-79.847567,2400 Ardmore Blvd,15221,11.0,False
0006M00312117800,0006M00312117800,0006M00312A15400,33124044,40.438147,-80.019935,1301 Grandview Ave,15211,8.0,False
0001D00184000000,0001D00184000000,0001D00184000000,32876830,40.441803,-80.001432,606 Liberty Ave,15222,,False
0004G00141000000,0004G00141000000,0004G00141000000,32821694,40.428839,-80.00615,55 Wyoming St,15211,16.5,False
0645G00340000000,0645G00340000000,0645D00101000000,32770852,40.372117,-79.785813,1701 Lincoln Hwy,15137,16.0,False
0001H00338000000,0001H00338000000,0001H00338000000,32719015,40.438661,-80.000385,336 Fourth Ave,15222,16.0,False
0104M00060000000,0104M00060000000,0104M00060000000,32442456,40.416426,-80.084195,108 Rosslyn Rd,15106,11.95,False
0130N00319000000,0130N00319000000,0130N00319000000,31892148,40.405632,-79.913183,133 W 8th Ave,15120,9.97,False
0317P00274000C00,0317P00274000C00,0317P00274000D00,31740167,40.347031,-80.027521,4880 Library Rd,15102,15.0,False
0855N00254000000,0855N00254000000,0855N00254000000,31658412,40.445211,-79.764866,4400 Old William Penn Hwy,15146,28.380000000000003,False
0477N00136000000,0477N00136000000,0477N00136000000,31524147,40.326501,-80.064227,101 Drake Rd,15241,21.0,False
0008K00030000000,0008K00030000000,0008K00030000000,31523835,40.44626,-80.007891,225 North Shore Dr,15212,34.5,False
0878C00059000000,,0878C00059000000,31391927,40.296658,-79.874432,296 State St,15025,10.0,False
0142D00254000000,0142D00254000000,0142D00254000000,30829346,40.383055,-80.052796,460 Cochran Rd,15228,18.0,False
0028J00191000000,0028J00191000000,0028J00191000000,30645205,40.436291,-79.96508,3109 Forbes Ave,15213,25.0,False
0004C00177000000,0004C00177000000,0001R00020000000,30515383,40.433848,-80.004321,125 W Station Square Dr,15219,18.5,False
0175R00186000100,0175R00186000100,0175R00186000100,30402724,40.444492,-79.890424,901-907 West St,15221,19.5,False
0388C00025000000,0388C00025000000,0388C00025000000,30318306,40.344695,-79.953183,800 Regis Ave,15236,19.75,False
1243A00053000000,1243A00053000000,1243A00053000000,30139970,40.442807,-79.712552,1740 Golden Mile Hwy,15146,23.5,False
0317N00015000000,0317N00015000000,0317N00015000000,29989639,40.345805,-80.028647,2311 Bethel Church Rd,15102,17.5,False
0750J00245000000,0750J00245000000,0750J00245000000,29941344,40.369695,-79.782736,1751 Lincoln Hwy,15137,16.0,False
0551R00185000000,,0551R00185000000,29498369,40.336728,-79.805049,2001-203 Lincoln Way,15131,24.5,False
0012M00008000000,0012M00008000000,0012M00008000000,28851492,40.428135,-79.969798,2429 E Carson St,15203,16.25,False
0690H00006000000,0690H00006000000,0690H00006000000,28627390,40.439306,-80.218753,7851-7867 Steubenville Pike,15071,17.05,False
0087C00088000000,0087C00088000000,0087C00088000000,28543777,40.431889,-79.92333,2212 Murray Ave,15217,26.77,False
0017E00164000000,0017E00164000000,0017E00164000000,28540629,40.420438,-80.046756,950 Greentree Rd,15220,15.0,False
0103L00092000000,0103L00092000000,0103L00092000000,27818375,40.406932,-80.087114,20 E Main St,15106,22.0,False
0086L00224000000,0086L00224000000,0086L00224000000,27113610,40.436193,-79.923028,1824 Murray Ave,15217,21.16,False
0856K00097000000,0856K00097000000,0856K00095000000,27076860,40.437521,-79.757531,2790 Mosside Blvd,15146,22.0,False
0237D00360000000,0237D00360000000,0237D00360000000,26446150,40.404223,-79.869555,501 Braddock Ave,15104,15.0,False
0319R00046000000,0319R00046000000,0319R00046000000,25950232,40.346333,-80.053708,180 Fort Couch Rd,15241,24.5,False
0192L00020000000,0192L00020000000,0192L00020000000,25273658,40.36801,-80.036941,250 Mt Lebanon Blvd,15234,18.5,False
0001H00030000000,0001H00030000000,0001H00030000000,24823494,40.440059,-80.003761,1 PPG Pl,15222,33.5,False
0030L00076000000,,0030L00076000000,24804203,40.418639,-79.955497,3700 S Water St,15203,20.5,False
0031G00045000000,0031G00045000000,0031G00045000000,24400923,40.410926,-79.957077,1000 Becks Run Rd,15210,14.0,False
0001H00086000000,,0001H00086000000,24316627,40.439001,-80.002867,225 Boulevard of the Allies,15222,24.0,False
0265R00030000000,0265R00030000000,0265R00030000000,24277302,40.434391,-80.139169,400 Business Center Dr,15205,12.5,False
0192M00072000000,0192M00072000000,0192M00072000000,24208254,40.3687,-80.034657,300 Mount Lebanon Blvd,15234,16.0,False
0002F00318000000,0002F00318000000,0002F00318000000,23642067,40.438629,-79.992086,816 5th Ave,15219,10.0,False
0002H00022000000,0002H00022000000,0002H00022000000,23545462,40.438246,-79.985264,1450 5th Ave,15219,36.0,False
0152K00025000000,0152K00025000000,0152K00025000000,23113441,40.446998,-80.10708,300 Cedar Ridge Dr,15205,18.0,False
0879M0029200CU00,0879M0029200CU00,0879M00292000000,22726187,40.292393,-79.883761,607 Miller Ave,15025,6.0,False
0141E00050000000,0141E00050000000,0141E00050000000,22575432,40.381755,-80.045319,20 Cedar Blvd,15228,12.0,False
0855G00266000000,,0855G00266000000,22209029,40.448463,-79.756438,510-550 Seco Rd,15146,9.0,False
0855R00218000000,0855R00218000000,0855R00218000000,22208936,40.444496,-79.75492,9000-9018 Rico Rd,15146,9.0,False
0008H00191000000,,0008H00191000000,22107147,40.448904,-80.002585,207-209 Sandusky St,15212,18.5,False
0001H00030000000,0001H00030000000,0001H00030000000,22039064,40.439228,-80.003226,5 Ppg Pl,15222,23.0,False
0798H00010000000,,0798H00010000000,21663662,40.430118,-80.234255,400 Crown Ct,15071,10.75,False
0176H00381000000,0176H00381000000,0176H00381000000,20593029,40.438689,-79.886606,321 Pennwood Ave,15221,17.705,False
0192M00072000000,0192M00072000000,0192M00072000000,19594130,40.3687,-80.034657,300 Mt Lebanon Blvd,15234,14.0,False
0307E00014000000,,0307E00014000000,19577529,40.350916,-79.863627,324-340 Fifth Ave,15132,11.0,False
0335M00037000000,0335M00037000000,0335M00037000000,19219508,40.447312,-80.150928,500 Mosites Way,15205,19.0,False
0335H00100000000,0335H00100000000,0335H00025000000,19219409,40.447742,-80.152013,400 Mosites Way,15205,21.0,False
0052J00174000000,0052J00174000000,0052J00174000000,18582379,40.446277,-79.948625,201 S Craig St,15213,29.0,False
0107E00045000000,,0107E00045000000,18244872,40.44921,-80.097513,230 Bilmar Ave,15205,9.75,False
0030L00096000000,,0030L00096000000,17993596,40.41677,-79.95522,3840-3849 S Water St,15203,18.5,False
0307E00069000000,0307E00069000000,0307E00069000000,17804993,40.351282,-79.864882,301 5th Ave,15132,9.0,False
0857L00024000000,0857L00024000000,0857L00024000000,16829407,40.427106,-79.754701,200 James Pl,15146,26.0,False
0237G00300000001,,0237G00300000001,16775490,40.40244,-79.873894,3rd St,15104,4.0,False
0002J00199000000,0002J00199000000,0002J00199000000,16386698,40.436949,-79.999489,425 1st Ave,15219,21.0,False
0130M00028000000,,0130M00028000000,15607212,40.408967,-79.900389,700 E 8th Ave,15120,15.0,False
0389P00225000001,,0389P00225000001,15607117,40.337387,-79.974843,270-360 Curry Hollow Rd,15236,18.0,False
0027H00238000000,0027H00238000000,0027H00238000000,14311558,40.449511,-79.950158,160 N Craig St,15213,15.0,False
0103G00018000000,0103G00018000000,0103G00018000000,13076595,40.409423,-80.087179,102 Broadway St,15106,17.95,False
0061D00233000000,,0061D00233000000,12924680,40.403332,-80.000684,1301-1371 Saw Mill Run Blvd,15226,9.5,False
0098D00334000000,,0098D00334000000,12716505,40.393682,-80.035439,2961-2973 W Liberty Ave,15216,7.5,False
0857D00259000000,0857D00259000000,0857D00259000000,12638214,40.431896,-79.750562,2644 Mosside Blvd,15146,18.0,False
0555M00301000000,0555M00301000000,0554E00210000000,12140112,40.321748,-79.833366,4313 Walnut St,15132,9.25,False
0378A00400000000,,0378A00400000000,11982598,40.374063,-79.846325,31 Duquesne Blvd,15110,10.0,False
0335G00212000000,0335G00212000000,0335G00212000000,9937214,40.449588,-80.154369,200 High Tower Blvd,15205,18.75,False
0470D00160000000,0470D00160000000,0470D00160000000,9529526,40.335604,-79.935774,2000 Clairton Rd,15122,18.0,False
0394D00225000000,0394D00225000000,0394D00225000000,8930778,40.344221,-80.049465,1500 Oxford Dr,15102,24.5,False
0475B00025000000,0475B00025000000,0475B00025000000,8484146,40.334079,-80.025211,2414 Lytle Rd,15102,18.0,False
0470L00250000000,0470L00250000000,0470L00250000000,7037302,40.329638,-79.940307,500 N Lewis Run Rd,15122,19.0,False
0152K00195000000,0152K00195000000,0152K00195000000,6925129,40.449004,-80.109069,4955 Steubenville Pike,15205,18.0,False
0646H00200000000,,0646H00200000000,4472181,40.361391,-79.784914,Jacks Run Rd,15137,12.5,False
0030L00099000000,,0030L00099000000,4468737,40.417941,-79.955243,3810-3819 S Water St,15203,19.0,False
0012E00304000000,0012E00304000000,0012E00304000000,4189304,40.429068,-79.981898,1701 E Carson St,15203,10.0,False
0030L00100000000,,0030L00100000000,4040030,40.417302,-79.95572,3850-3859 S Water St,15203,22.5,False
