CENSUS_TRACT,LAND_VALUE_PER_SQFT
5653,5.814541526541851
4580.02,2.245263268293813
4580.01,2.349666171979501
1019,34.67260746173842
1209,27.05913853066472
4110.02,4.0555548750459245
1307,14.66873572210135
1412,37.657352039852356
1308,16.873661199122527
5648,2.5023555188955124
103.02,77.0745692602722
103.01,77.0745692602722
5647,4.623263134981802
4120.04,2.0172093408129825
5130,2.4487718817342548
4110.01,1.8693384059474267
4090.02,3.178436084232788
4120.03,4.799409517539661
5632.01,65.40674737986181
4090.01,3.5765468728431444
2413,12.440572529549733
5632.02,50.09011028321503
5652,49.99818084068862
5651,64.59847915150917
2613,7.046482692854313
2716,10.014252342163667
5629.01,20.880657530390845
1610,4.340888001276946
4020,6.2234560978931475
4230,31.458982852766177
2708,9.670999208012347
4267,4.647962580347334
4268,5.3633336789598065
4060,0.6236697042865255
4281,5.254857595694037
4050,0.5944304231409947
4294,7.467333241124179
4297,4.783636248861475
4301,8.5242647498539
3001,4.584235974607139
3206,9.65797299811771
4180,7.077090332834573
4190,3.396946235980677
2615,10.41356262334752
2620,8.708872146474942
2703,12.410097625508493
5641,5.106656834749223
9818,3.8473425520794184
4688,8.567266508533312
4689,7.763400265751802
2814,5.035379897383527
2815,6.5124943034235026
2902,6.054618332097088
4100,4.55624738207559
4134,5.86809316503506
4160,2.6439821716775564
4172,9.41297568994364
4171,8.152393062574777
4012,4.816942218730008
4013,6.974181120634398
9800,31.458982852766177
4610,6.840882914166354
4370,2.9485074876908732
4732,29.78014897657945
4734.01,18.770988550038638
4751.02,6.500039241524842
4626,5.661529373883605
4639,5.060371905930503
4762,9.24606144837352
4734.02,14.429378039035145
4773,9.654138403845804
4790,8.98945952950741
4736.01,19.226975054192614
4643,7.916637679558486
4721,18.36216256267459
4656,8.183970448629427
4731,20.097465130315474
5070,4.699980063096817
5080,3.8155600050996914
4838,3.0032861791563206
4801.01,8.137771382725822
4994,2.6298446472485715
4735,16.714502149557166
4736.02,12.931192386713276
4742.03,5.857350665616929
4781,4.92072206488419
4644,4.655312246628019
4722,20.259378748852125
4723,21.979434711744716
4724,22.249696410244628
4687,8.472965174563525
4869,2.207026545533764
4870,1.9974972630006191
4882,4.13227946074395
4929,2.6344463308447823
4850,5.278365897140452
4890.01,7.743510843787049
4940,6.3302388655202195
4867,3.2762221242150646
4980,1.8606343798264562
4993,1.7452911888229912
5003,2.80474294615601
5010,3.800360623455044
4890.02,8.131012686432527
5519,4.557468282484787
4845,5.567047827250381
1609,77.57512566155874
4825,4.731837231426356
5615,4.207806909962485
4801.02,8.17190064186711
4810,8.910585132246265
5625,9.938941080799934
1608,17.45104746411716
4751.01,8.642305359959284
1903,28.24495176911123
5620,52.7498536162609
4508,6.222762087346271
5644,2.088387523631994
4507,4.581074182037986
4530.04,4.268272185859538
4705.02,9.751897400832318
5645,1.3193143700717909
5639,8.134852770140771
5631,5.429749183353571
5624,7.304264849654974
9801,40.49340898942814
5626,7.925567280006857
9811,37.657352039852356
5628,8.048536062106804
5630,4.064662292178893
5642,1.510142681792562
5154.01,21.280576006488058
